h3_cell,centroid_latitude,centroid_longitude,alert_level,stress_index,alert_reason,predicted_calls_next_30d,predicted_calls_next_30d_p90,code_violations_count,service_311_count,prediction_uncertainty_30d,distance_to_nearest_station_km,equity_need_score
8944ec6b1afffff,32.41290969990979,-86.28172383385728,critical,3.3363750432002917,"high predicted demand, concentrated code issues, high forecast uncertainty",3.9028910776697625,5.8558879070488405,412.0,322.0,5.8558879070488405,,1.031130653581423
8944ec799a7ffff,32.362891256241376,-86.32025123728657,critical,3.314889244802977,"high predicted demand, concentrated code issues, high forecast uncertainty",2.350030587587663,5.36287003322987,481.0,495.0,5.36287003322987,,1.02192839476853
8944ec6b6afffff,32.38123396158784,-86.244887491328,critical,3.1976553412376276,"high predicted demand, high forecast uncertainty",6.008583077774809,8.969231169972154,3.0,409.0,8.969231169972154,,0.9717177066523779
8944ec6b42bffff,32.380165939205824,-86.26121790826596,critical,3.19308053147098,"high predicted demand, concentrated code issues, high forecast uncertainty",5.0924583449207095,6.562738089716272,208.0,345.0,6.562738089716272,,0.9697583387613663
8944ec6b497ffff,32.36385470599423,-86.26861535521452,critical,3.1232291178332083,"high predicted demand, high forecast uncertainty",7.639950980973225,7.639950980973225,25.0,111.0,7.639950980973225,,0.9398413314966254
8944ec799b7ffff,32.35979420546448,-86.3210445206351,critical,3.0364575245638368,"high predicted demand, concentrated code issues, high forecast uncertainty",1.67781683587717,4.982491046526154,463.0,520.0,4.982491046526154,,0.9026774968507767
8944ec6a69bffff,32.372423991085235,-86.30495881883941,critical,2.925016946544323,"high predicted demand, high forecast uncertainty",4.672454957037522,9.839682527456612,14.0,443.0,9.839682527456612,,0.8549480607725655
8944ec78a77ffff,32.360385256632675,-86.33053086450683,critical,2.880562057597472,"high predicted demand, concentrated code issues, high forecast uncertainty",4.175049037598969,6.506892203478219,204.0,356.0,6.506892203478219,,0.8359082566180932
8944ec6b5cfffff,32.38302466207484,-86.27333084368227,critical,2.7745108944151724,"high predicted demand, concentrated code issues, high forecast uncertainty",3.695107804101999,6.524377245561564,177.0,431.0,6.524377245561564,,0.7904870796636521
8944ec6b1c7ffff,32.40385969585478,-86.27119549586617,critical,2.6880981469614333,"high predicted demand, high forecast uncertainty",5.272732382179177,8.16622720119867,0.0,322.0,8.16622720119867,,0.7534769368661726
8944ec799b3ffff,32.357532351554056,-86.31841151812577,critical,2.4480919718223197,"high predicted demand, concentrated code issues, high forecast uncertainty",1.0758781282471237,5.18970377424206,426.0,375.0,5.18970377424206,,0.6506835056200386
8944eeb69d7ffff,32.34742198424283,-86.24072879375763,critical,2.384546472650109,"high predicted demand, concentrated code issues, high forecast uncertainty",5.289459642303756,5.289459642303756,63.0,201.0,5.289459642303756,,0.6234672896357051
8944ec78a63ffff,32.361220715775225,-86.32710424886999,critical,2.363755667729773,"concentrated code issues, high forecast uncertainty",0.9306549569539572,4.486244017329403,462.0,332.0,4.486244017329403,,0.6145626930148407
8944ec7abd7ffff,32.31232617497145,-86.38458614554057,critical,2.2760874000563573,"high predicted demand, concentrated code issues, high forecast uncertainty",4.542080360067358,5.199138564035093,91.0,235.0,5.199138564035093,,0.5770148172556794
8944ec6b51bffff,32.385287046173005,-86.27596225501148,critical,2.224607791612015,"high predicted demand, concentrated code issues, high forecast uncertainty",2.325024873100613,6.0071991859886635,211.0,359.0,6.0071991859886635,,0.554966361260186
8944ec78e4fffff,32.335015362649024,-86.32738941008638,critical,2.1965903145060084,"high predicted demand, high forecast uncertainty",4.561701556038129,6.313330471350426,1.0,286.0,6.313330471350426,,0.5429666174831058
8944ec78b57ffff,32.368596528943904,-86.34449389859074,critical,2.112791836951795,"high predicted demand, concentrated code issues, high forecast uncertainty",2.3257901281949787,4.16611408291239,275.0,286.0,4.16611408291239,,0.5070761532648127
8944ec78a4fffff,32.35669708696301,-86.32183776571854,critical,2.0897877173982318,"concentrated code issues, high forecast uncertainty",0.8860131077072926,5.270393142383994,351.0,346.0,5.270393142383994,,0.4972236051779294
8944ec6a65bffff,32.37885692678108,-86.29046026467769,critical,2.0556807574648213,"high predicted demand, high forecast uncertainty",3.772548114208986,7.245585409429537,3.0,303.0,7.245585409429537,,0.4826157666967006
8944ec6844fffff,32.42755305622012,-86.28117848698105,critical,2.0157686842336946,"high predicted demand, concentrated code issues, high forecast uncertainty",3.3318634666359253,3.3619220441918127,212.0,204.0,3.3619220441918127,,0.4655216275430039
8944ec78a03ffff,32.35419053765918,-86.33211694790195,critical,1.9957161340765373,"concentrated code issues, high forecast uncertainty",0.696029441788696,4.163595941531406,399.0,306.0,4.163595941531406,,0.4569332217043015
8944ec78a6fffff,32.364317882067915,-86.32631107559602,critical,1.9763127421945887,"concentrated code issues, high forecast uncertainty",0.8896116785040128,4.105188766923261,375.0,305.0,4.105188766923261,,0.44862284707247063
8944ec6b467ffff,32.380998788487034,-86.25779268728641,critical,1.9667978720340238,"high predicted demand, concentrated code issues, high forecast uncertainty",2.7393513621544665,4.2761053101141355,184.0,285.0,4.2761053101141355,,0.4445476762936395
8944ec686b3ffff,32.428385512938526,-86.27775119646027,critical,1.9613775294262052,"high predicted demand, concentrated code issues, high forecast uncertainty",1.4202527549804025,3.68558864863798,371.0,231.0,3.68558864863798,,0.44222617096210237
8944ec684dbffff,32.41517217477068,-86.28435637704318,critical,1.940330567170178,"high predicted demand, concentrated code issues, high forecast uncertainty",1.579768172584183,3.825588648637978,321.0,269.0,3.825588648637978,,0.4332118634495941
8944eeb6857ffff,32.33860733719606,-86.21731840608021,critical,1.9156934590715897,"high predicted demand, concentrated code issues, high forecast uncertainty",3.2566261350811985,4.003296409319817,160.0,221.0,4.003296409319817,,0.4226599146259111
8944ec6a6dbffff,32.371830522577774,-86.29547416528912,critical,1.8639991203612771,"high predicted demand, concentrated code issues, high forecast uncertainty",1.4985003771501837,3.8406295972443982,317.0,250.0,3.8406295972443982,,0.4005194907432637
8944ec7990bffff,32.36087215080041,-86.30470726068731,critical,1.8508088288610791,"high predicted demand, high forecast uncertainty",4.22754148846179,4.3420196439063075,39.0,202.0,4.3420196439063075,,0.39487015558904875
8944ec68693ffff,32.420765315546255,-86.27328097836792,critical,1.8253906427869624,"high predicted demand, high forecast uncertainty",4.036843743963353,5.264091792657094,0.0,242.0,5.264091792657094,,0.3839836750178855
