OBJECTID,FACILITYID,Type,FULLADDR,last_edited_user,Description,ImageSource,longitude,latitude
93,Riverwalk Stadium,Sports Field,200 COOSA ST,HNAM,"Riverwalk Stadium is the home of the Montgomery Biscuits of the Southern League. The ballpark opened in 2004, with a total capacity of 7,000, including general-admission lawn seating. The stadium offers 20 luxury suites, six which are built into an old train terminal. Picnic areas are also offered than can accommodate up to 4,000 fans and a children's playground area is located along the third-base line. In addition to a full complement of concession and restroom amenities, the stadium has a scoreboard with a LED screen that is capable of instant replay.  The facility is available for events.",Riverwalk Stadium,-86.31047527000199,32.38234343000297
95,Multiplex at Cramton Bowl,Sports Field,220 HALL ST,ABOWEN,Athletic Facilities,Multiplex at Cramton Bowl,-86.29295170000196,32.378387910003
96,Montgomery Zoo & Mann Wildlife Learning Museum,Zoo,2301 COLISEUM PKWY,ABOWEN,"Montgomery Zoo is a 40-acre (16 ha) zoo located on the north side of Montgomery, Alabama. The zoo is an independent city department, and is supported in part by The Montgomery Area Zoological Society. It is home to approximately 750 animals representing 140 species. After not renewing their Association of Zoos and Aquariums membership in 2013, the zoo opted to remain accredited solely by the Zoological Association of America. The Mann Wildlife Learning Museum opened in January 2003 and serves as the administration building. The museum features taxidermy displays with a focus on native wildlife, game species, and wildlife management.",Montgomery Zoo & Mann Wildlife Learning Museum,-86.27720354000198,32.42031238000297
97,Montgomery Art Center,Arts Center,450 N HULL ST,HNAM,"The Montgomery Art Center (The MAC) provides spaces for working artists where the public can visit and view artists at work. We offer community ongoing classes and workshops designed to educate, inspire and promote the creative spirit. Classes are offered in a variety of arts from jewelry making, painting, drawing, music, cooking and so much more. We provide a professional environment where artists can exhibit and present the fruits of their labors. Our large 1880's building is a great venue space for hosting events while providing an artistic experience.",Montgomery Art Center,-86.30359298900198,32.382992371002985
98,Davis Theatre for the Performing Arts,Theatre,251 MONTGOMERY ST,HNAM,"The Davis Theatre is a 1,200 seated auditorium, fully equipped venue with friendly and professional staff. The Davis Theatre mailing address, operating hours, and various contact information; including rates and services offered to Civic Organizations for venue leasing or equipment rental.",Troy University,-86.31103540900193,32.37611332100297
100,Southern Art & Makers Collective,Arts Center,1228 MADISON AVE,HNAM,An art gallery & shop repping 75+ Southern artists,Southern Art & Makers Collective,-86.29075002200196,32.38012706400301
103,Rosa Parks Museum & Library,Museum,251 MONTGOMERY ST,HNAM,"Historic markers designate the site where Rosa Parks boarded the public bus and where she was arrested for refusing to give up her seat to a white passenger and move to the back. The Rosa Parks Museum, located at the site of Parks’ famous arrest, is centered on Parks’ story and its place in the Civil Rights Movement and features a restored bus and other artifacts.",Rosa Parks Museum & Library,-86.31122784000196,32.37675577300302
104,Civil Rights Memorial & Museum,Museum,400 WASHINGTON AVE,HNAM,"The Civil Rights Memorial is an American memorial in Montgomery, Alabama, created by Maya Lin. The names of 41 people are inscribed on the granite fountain as martyrs who were killed in the civil rights movement. The memorial is sponsored by the Southern Poverty Law Center.",Balthazar Korab,-86.30324571200198,32.37618397500299
105,Sac's Gallery,Arts Center,529 S PERRY ST,HNAM,"SAC’s is headquartered in the capital city of Montgomery, Alabama.  Our art gallery, better known as SAC’s Gallery, affords local artisans the opportunity to display, promote and sell their original works of art in the River Region and throughout central Alabama.",Sac's Gallery,-86.30698549400196,32.371182663003
106,The Georgine Clarke Alabama Artists Gallery,Arts Center,"3721, 201 MONROE ST #110",HNAM,"The Georgine Clarke Alabama Artists Gallery, located at the offices of the Alabama State Council on the Arts in the RSA Tower in downtown Montgomery, provides an ongoing showcase of the work of Alabama artists in all media.",The Georgine Clarke Alabama Artists Gallery,-86.30576461500199,32.37925007600298
107,Cotton Belt Gallery,Arts Center,225 S DECATIR ST,HNAM,"Cotton Belt Gallery is located in Montgomery, AL, and is pleased to showcase the work of southern self-taught artists. Originally part of Sweet Gum Gallery, Cotton Belt Gallery was created by Micki Beth Stiller in 1989.",Cotton Belt Gallery,-86.30212677000198,32.37469677800295
108,Montgomery Museum of Fine Arts,Arts Center,1 MUSEUM DR,HNAM,Providing compelling experiences centered on human creativity that enhance individual well-being and add to the collective vibrance of the Region. ·,Montgomery Museum of Fine Arts,-86.20645121400196,32.350994486002975
111,The MOOseum,Museum,201 S BAINBRIDGE ST,HNAM,"Since opening its doors in 1995, The MOOseum has been the premier venue for children and adults alike to learn more about Alabama's beef cattle industry. Whether you're a history buff looking to explore the timeline of the past or a parent who wants your children to learn in a hands-on environment, The MOOseum is ready for your visit.",The MOOseum,-86.300903577002,32.375194306002975
113,Freedom Rides Museum,Museum,210 S COURT ST,HNAM,"The Freedom Rides Museum is located at 210 South Court Street in Montgomery, Alabama, in the building which was until 1995 the Montgomery Greyhound Bus Station. It was the site of a violent attack on participants in the 1961 Freedom Ride during the Civil Rights Movement. Wikipedia",Freedom Rides Museum,-86.30909905300197,32.37431440200297
114,The Hank Williams Museum,Museum,118 COMMERCE ST,HNAM,"The Hank Williams Museum in Montgomery preserves and interprets the legacy of world-renowned country singer Hank Williams Sr. Opened in 1999, it contains memorabilia, instruments, sheet music, and other artifacts related to the musician's life and career.",Encyclopedia of Alabama,-86.31097950500198,32.37961919700299
115,Montgomery Curb Market,Farmer's Market,1004 MADISON AVE,HNAM,"The Montgomery curb market was first established in 1927 by the Junior Chamber of Commerce in cooperation with Auburn University Extension service. Today the Montgomery Curb Market is almost 95 years old. The first established location of the Curb Market was the corner of Washington Street and Perry Street. In 1929 business began to pick up, causing the need for a new location. In 1943 a committee was formed to start planning for a new location, and by 1947 the City of Montgomery provided land for the future home of the Curb Market, which is the current permanent location today. The new location officially opened on May 11th, 1947.",Montgomery Curb Market,-86.29496800600198,32.38006375800298
116,SweetCreek Farm Market,Farmer's Market,85 MERIWETHER RD,HNAM,"Sweetcreek Farm Market is a farm-to-table market where we sell local, fresh produce, signature sandwiches, homemade ice cream, fresh baked goods and gifts",Clif Render,-86.17269901200196,32.27511740000299
117,State Farmers Market,Farmer's Market,1655 FEDERAL DR,HNAM,"A place where people can buy fresh produce and Alabama farm products, every day.",James Keller,-86.26688845900198,32.40487790600296
120,The Legacy Museum,Museum,400 N COURT ST,HNAM,"The Legacy Museum: From Enslavement to Mass Incarceration is a museum in Montgomery, Alabama, that displays the history of slavery and racism in America.",The Legacy Museum,-86.30860293200197,32.38241208600298
121,National Memorial for Peace and Justice,Museum,417 CAROLINE ST,HNAM,,MASS,-86.31268054200194,32.37203495300294
122,Dexter Parsonage Museum,Museum,309 S JACKSON ST,HNAM,"The Dexter Parsonage Museum is a historic residence in Montgomery, Alabama.",Dexter Parsonage Museum,-86.29605916100196,32.37302573600299
123,First White House of the Confederacy,Historical Place,644 WASHINGTON AVE,HNAM,"The First White House of the Confederacy is a historic house in Montgomery, Alabama, which was the initial executive residence of President of the Confederate States of America Jefferson Davis and family during early 1861.",First White House of the Confederacy,-86.299937835002,32.376120161003
124,The Scott and Zelda Fitzgerald Museum,Museum,919 FELDER AVE,HNAM,"The Scott and Zelda Fitzgerald Museum is located in the historic Old Cloverdale Neighborhood in Montgomery, Alabama, and is the only museum dedicated to the lives and legacies of F. Scott & Zelda Fitzgerald in the world.  The Fitzgeralds lived here from 1931 until 1932, writing portions of their respective novels, Save Me The Waltz and Tender Is The Night during their time in Montgomery. Our  hours are Thursday thru Sunday, 10am to 3pm. Wednesdays are by appointment only. Please contact us in advance for large group tours.",The Scott and Zelda Fitzgerald Museum,-86.29230416700194,32.35869832200301
125,Montgomery Indoor Shooting Complex,Recreation,5765 CARMICHAEL PKWY,HNAM,Indoor shooting range.,Montgomery Indoor Shooting Complex,-86.20680560500195,32.36156557900299
126,Fun City Adventure Park,Recreation,7861 EASTCHASE PKWY,HNAM,"Indoor play area featuring a trampoline and other activities, plus an arcade.",Fun City Adventure Park,-86.15388520300196,32.363148411002996
128,Newtopia Fun Park,Recreation,3731 MALCOM DR,HNAM,"The National Memorial for Peace and Justice, informally known as the National Lynching Memorial,[1] is a memorial to commemorate the black victims of lynching in the United States. It is intended to focus on and acknowledge past racial terrorism and advocate for social justice in America. Founded by the non-profit Equal Justice Initiative, it opened in downtown Montgomery, Alabama on April 26, 2018.",Newtopia Fun Park,-86.17985367500195,32.326710080003004
129,Montgomery Therapeutic Recreation Center,Recreation,604 AUGUSTA AVE,HNAM,"The Therapeutic Recreation Center, one of Montgomery’s proudest accomplishments, makes recreation accessible to our city’s special population. The 26,000-square-foot facility is barrier-free and features a large gymnasium, indoor and outdoor swimming pools, weight room, game room, meeting rooms, locker rooms and a kitchen. The center also includes a greenhouse, a patio and a fully accessible playground area. Through innovative programs, such as a spring prom and Special Olympics competition, TRC staff members bring recreation opportunities to those who otherwise might not be able to participate.",Montgomery Therapeutic Recreation Center,-86.29732823200199,32.340881853002976
130,Smash It Rage Room,Recreation,17 COMMERCE ST,HNAM,"Unleash Your Stress at Smash It Rage Room Conveniently located at 17 Commerce St, Montgomery, Alabama, Smash It Rage Room offers a range of services guaranteed to help you release pent-up frustration and stress. At Smash It, you have the option to choose from various services tailored to suit your needs.",Smash It Rage Room,-86.31011378400196,32.377825711003
131,Cottonwood Golf Club - Driving Range,Recreation,7160 BRYON NELSON BLVD,HNAM,"Golf club offering a course with challenging holes, plus a driving range.",Cottonwood Golf Club - Driving Range,-86.17390325200195,32.247305480003
132,Sip-n-Cycle Pedal Cruise,Recreation,355 COMMERCE ST,HNAM,"Sip-n-Cycle Pedal Cruise is a 20 passenger, BYOB, party boat that has 12 pedal stations seated around a central bar, a Captain and First Mate.",Sip-n-Cycle Pedal Cruise,-86.31305051300194,32.381183226003024
133,Bowlero Montgomery,Recreation,1661 EASTERN BLVD,HNAM,"Bowling alley chain featuring billiards, arcade games & snacks; some locations offer laser tag.",Bowlero Montgomery,-86.21536526000192,32.35467794300299
134,Wine & Design,Recreation,7732 EASTCHASE PKWY,HNAM,Wine & Design is the perfect place to unwind and have fun.,Wine & Design,-86.15709107600198,32.36050726600301
136,Capri Theatre,Theatre,1045 E FAIRVIEW AVE,HNAM,"Historic nonprofit theater showing independent, foreign & classic films with beer & wine available.",Capri Theatre,-86.29084393500194,32.352478145003
137,Eastdale Mall Cinemas,Theatre,1001 EASTDALE CIR,HNAM,"Movie theater at Eastdale Mall offering digital projection, rocker seats, and a casual atmosphere.",Cinema Treasures,-86.20679035400198,32.38472088600297
138,Montgomery Performing Arts Centre,Theatre,201 TALLAPOOSA ST,HNAM,"The Montgomery Performing Arts Centre is a 1,800 seat, state of the art facility in Montgomery, AL",Montgomery Performing Arts Centre,-86.31195928100199,32.37945870600297
139,AMC Festival Plaza 16,Theatre,7925 VAUGHN RD,HNAM,"Cineplex with 3D & jumbo digital screens showing first-run films, opera productions & sports events.",AMC,-86.17741019400196,32.340871422003005
140,AMC Chantilly 13,Theatre,10477 CHANTILLY PKWY,HNAM,"Cineplex with 3D & jumbo digital screens showing first-run films, opera productions & sports events.",AMC,-86.13197298600193,32.360061884003
141,The Cloverdale Playhouse,Theatre,960 CLOVERDALE RD,HNAM,"The Cloverdale Playhouse is a community-based performing arts center in Montgomery, Alabama.",JoshCarples,-86.29261146600197,32.35245472500296
143,ASU Theater & Tullibody Fine Arts Hall,Theatre,915 S JACKSON ST,HNAM,"Drama theater in Montgomery, Alabama",ASU Theater & Tullibody Fine Arts Hall,-86.29570593900196,32.36513859400294
144,Faulkner University Dinner Theatre,Theatre,5346 ATLANTA HWY,HNAM,"Dinner theater in Montgomery, Alabama",Faulkner University Dinner Theatre,-86.21718158700197,32.38011826800298
145,Theatre AUM,Theatre,"WATSON ROBBINS TAYLOR CENTER, 7041 SENATORS DR",HNAM,"By nurturing the art of live theatre, the mission of Theatre AUM is to provide access for comprehensive training in all areas of theatre artistry and to develop a well-rounded, engaged ensemble of emerging arts by developing skills in the classroom and offering an annual season of diverse classical and contemporary productions.",Theatre AUM,-86.17768371200198,32.36924998600299
146,Escapology Escape Rooms,Recreation,130 COMMERCE ST #700,HNAM,Amusement center challenging visitors to solve puzzles and escape from themed rooms within a time limit.,Escapology Escape Rooms,-86.31097878800195,32.37978979400295
147,Hyundai Motor Manufacturing Factory Tour,Museum,700 HYUNDAI BLVD,HNAM,Experience one of the world’s most advanced automotive plants and watch Alabama Team Members and amazing robots assemble Hyundai and Genesis vehicles.,Hyundai Motor Manufacturing Factory Tour,-86.330284551002,32.279857450002986
